label,centroid-0,centroid-1,centroid-2,volume_voxels,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,equivalent_diameter,extent,solidity,bbox_z_length,bbox_y_length,bbox_x_length,shape_major_axis,shape_intermediate_axis,shape_minor_axis
86,115.0957261651518,221.5097660027074,135.2809901373042,5171.0,98,209,126,135,233,146,21.4548412367657,0.2911599099099099,0.7344127254651328,37,24,20,31.934228464312145,31.164386007830046,16.463357942904263
87,116.73009161381255,90.95137420718817,162.17336152219872,1419.0,109,85,155,125,99,170,13.94209136383369,0.42232142857142857,0.885215221459763,16,14,15,15.650194260042186,14.13294813455435,13.21656304703102
88,116.25559481743227,94.00471142520612,186.69729093050648,849.0,108,88,180,122,101,195,11.748155582460534,0.310989010989011,0.8155619596541787,14,13,15,13.20728570364726,12.447032218104807,11.17517241633029
89,115.49079457364341,96.75,150.10513565891472,2064.0,106,88,143,128,105,159,15.796845001750796,0.3449197860962567,0.7962962962962963,22,17,16,17.757998616678403,17.264083849561562,14.617419428127018
90,114.89566929133858,159.96194225721786,98.80249343832021,1524.0,107,152,94,124,170,104,14.277826982073982,0.4980392156862745,0.9082240762812872,17,18,10,17.24658762214302,14.121064491277409,13.982479650882393
91,118.10647803425168,134.79151154132538,102.28518242740134,1343.0,111,126,94,126,143,110,13.688603061540942,0.32916666666666666,0.8224127372933252,15,17,16,17.151651294281777,15.715971754068208,12.021044699242404
92,121.13335313335314,107.30130680130681,126.1035046035046,6734.0,106,97,113,146,117,146,23.429237955864526,0.25507575757575757,0.7012391960845569,40,20,33,35.25873016981845,32.888869908515794,19.858408887869448
93,126.71264367816092,173.8623301985371,93.51698014629049,3828.0,110,166,85,142,185,107,19.408461135329965,0.28618421052631576,0.8052166596550273,32,19,22,25.793385638352763,24.432673707985185,15.993530199759686
94,122.34552454282965,308.0577478344562,273.54523580365736,2078.0,111,301,268,134,316,280,15.832480931414358,0.5019323671497584,0.9042645778938208,23,15,12,19.615899405746735,18.387899914900625,13.371529139950466
95,125.8578916715201,81.5812463599301,152.8258590564939,1717.0,116,75,146,136,89,162,14.856752585024413,0.38325892857142857,0.8809645972293484,20,14,16,18.566436767208835,16.433583021491966,13.465251328829577
96,126.30059880239521,97.33909324208726,138.62600513259196,5845.0,106,88,129,149,113,156,22.34919909544078,0.20137812230835486,0.6582948530239892,43,25,27,33.10534467899529,30.671052187562143,19.544888101253424
97,122.13395872420263,96.18198874296435,204.13020637898686,2665.0,112,88,196,132,105,213,17.201495137830033,0.4610726643598616,0.9151785714285714,20,17,17,19.58521832023231,17.50265263698824,16.20909512817269
98,125.05660377358491,180.05974842767296,235.37735849056602,318.0,119,176,233,131,185,239,8.468558642058058,0.49074074074074076,0.8712328767123287,12,9,6,10.710888600586786,9.765730641592672,7.2558373064736825
99,126.20379839298758,198.67932797662527,241.88385682980277,1369.0,117,193,237,136,206,248,13.776374554377382,0.5038645564961355,0.9048248512888302,19,13,11,16.696536153310387,16.007137363164304,11.602094926646807
100,125.3856993736952,216.7338204592902,126.9804279749478,3832.0,111,209,120,143,227,139,19.415218956605635,0.35014619883040937,0.7350853635142912,32,18,19,25.41321853798586,24.882815062488437,16.167284531117062
101,128.51334519572953,266.5338078291815,261.5960854092527,1124.0,121,259,257,137,274,267,12.89998572284437,0.4683333333333333,0.8941925218774861,16,15,10,15.589776487680357,13.609870862805604,11.934265292964069
102,130.20870364695065,147.11645724793135,88.14281336193687,3263.0,118,134,81,146,158,98,18.402330115773214,0.2856267507002801,0.8114896791842825,28,24,17,25.491427019477936,22.020678138981804,16.987672238014426
103,128.92296296296297,240.9125925925926,161.4720987654321,2025.0,118,234,153,141,248,169,15.696716038815882,0.39305124223602483,0.89720868409393,23,14,16,20.049986390986128,19.079102094333187,12.863291814980206
104,134.85607135617272,66.2675856476789,175.39266166632882,4933.0,120,58,165,150,75,187,21.120498494894292,0.43966131907308376,0.8947941229820424,30,17,22,28.25135755036231,24.717574411624707,18.851803663014415
105,129.8231884057971,330.9304347826087,243.58840579710144,345.0,125,328,240,136,335,248,8.701754454821554,0.560064935064935,0.92,11,7,8,9.947598205325235,9.264926564887952,7.788543775343928
106,134.8047619047619,101.27142857142857,218.74285714285713,210.0,131,98,216,139,107,222,7.374629802528655,0.4861111111111111,0.9251101321585903,8,9,6,8.798468611889604,7.761441090731694,6.742059945103632
107,138.48,122.156,97.058,500.0,133,118,92,145,128,103,9.847450218426964,0.3787878787878788,0.8620689655172413,12,10,11,13.073416570179672,10.88075794858878,9.310901441148088
108,139.4452296819788,129.20494699646642,91.06713780918727,283.0,134,125,88,146,134,96,8.14571612592436,0.3275462962962963,0.8473053892215568,12,9,8,10.550295858257838,9.623093591476431,6.974837122947385
